scene_index,filename,threshold,valid_pixels,burn_pixels,predicted_burn_pixels,true_positive,false_positive,false_negative,true_negative,burn_iou,burn_precision,burn_recall,burn_f1,pixel_accuracy,ground_truth_burn_fraction,predicted_burn_fraction,burn_fraction_difference
205,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T15TVN.2019140.v1.4_merged.tif,0.4,262117,8275,2872,1296,1576,6979,252266,0.1315602476905898,0.45125348189415043,0.15661631419939578,0.23252893155109,0.9673619032722028,0.0315698714696109,0.010956939076824471,-0.02061293239278643
206,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T15TXM.2018187.v1.4_merged.tif,0.4,261853,4321,471,429,42,3892,257490,0.09832683933073573,0.910828025477707,0.09928257347836149,0.17904841402337227,0.9849763034985278,0.01650162495751433,0.0017987191286714301,-0.014702905828842901
207,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T15TYL.2019159.v1.4_merged.tif,0.4,262143,5640,3380,3225,155,2415,256348,0.5565142364106989,0.9541420118343196,0.5718085106382979,0.7150776053215077,0.990196190628779,0.02151497465123997,0.0128937259434736,-0.008621248707766371
208,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RBV.2018158.v1.4_merged.tif,0.4,261722,4267,933,931,2,3336,257453,0.21808386038884986,0.9978563772775991,0.21818607921256153,0.3580769230769231,0.9872460091241853,0.016303558737897465,0.003564851254384423,-0.01273870748351304
209,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RCU.2020118.v1.4_merged.tif,0.4,262144,7195,5527,4179,1348,3016,253601,0.4891724218658551,0.7561063868282974,0.5808200138985407,0.6569721741864487,0.9833526611328125,0.027446746826171875,0.021083831787109375,-0.0063629150390625
210,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16REV.2018130.v1.4_merged.tif,0.4,262139,4194,3092,2750,342,1444,257603,0.6062610229276896,0.889391979301423,0.6556986170720076,0.7548723579467471,0.9931868207325122,0.015999145491514044,0.011795268922213024,-0.00420387656930102
211,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16REV.2019135.v1.4_merged.tif,0.4,262129,3086,2083,0,2083,3086,256960,0.0,0.0,0.0,0.0,0.9802807014866726,0.011772829408421044,0.007946469104906363,-0.0038263603035146813
212,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16REV.2020060.v1.4_merged.tif,0.4,262144,14984,5703,1996,3707,12988,243453,0.10678936386496174,0.349991232684552,0.13320875600640683,0.19297143133368783,0.9363136291503906,0.057159423828125,0.021755218505859375,-0.035404205322265625
213,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16REV.2021129.v1.4_merged.tif,0.4,262046,9623,7114,5291,1823,4332,250600,0.46225755722523154,0.743744728703964,0.5498285357996466,0.6322518969946824,0.9765117574776948,0.036722560161193074,0.02714790532959862,-0.009574654831594455
214,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RFU.2019105.v1.4_merged.tif,0.4,262133,3269,3868,2809,1059,460,257805,0.6490295748613678,0.7262150982419855,0.8592841847659834,0.7871654756900657,0.9942052316953608,0.012470768655606123,0.014755868204308499,0.0022850995487023757
215,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RFU.2019250.v1.4_merged.tif,0.4,262144,14400,1995,1986,9,12414,247735,0.13783052259004788,0.9954887218045113,0.13791666666666666,0.24226898444647763,0.9526100158691406,0.054931640625,0.007610321044921875,-0.047321319580078125
216,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RFU.2019305.v1.4_merged.tif,0.4,262144,3720,571,570,1,3150,258423,0.15318462778822897,0.9982486865148862,0.1532258064516129,0.26567233745047775,0.9879798889160156,0.014190673828125,0.002178192138671875,-0.012012481689453125
217,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RFU.2021069.v1.4_merged.tif,0.4,262141,30526,3890,1208,2682,29318,228933,0.036376776680317996,0.31053984575835475,0.039572823167136215,0.0701999070199907,0.8779282905001506,0.11644878138101251,0.014839342186075433,-0.10160943919493708
218,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RGU.2018107.v1.4_merged.tif,0.4,262144,11536,7444,6058,1386,5478,249222,0.4688128772635815,0.8138097796883396,0.5251386962552012,0.6383561643835616,0.97381591796875,0.04400634765625,0.0283966064453125,-0.0156097412109375
219,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RGU.2019127.v1.4_merged.tif,0.4,262123,12269,19961,9373,10588,2896,239266,0.4100713129457059,0.46956565302339565,0.7639579427826229,0.5816320198572759,0.9485585011616684,0.04680627033873411,0.07615127249421073,0.029345002155476627
220,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RGU.2019277.v1.4_merged.tif,0.4,262083,10536,2318,2317,1,8219,251546,0.21989180981303977,0.9995685936151855,0.21991268033409264,0.36051034697370465,0.968635890156935,0.04020100502512563,0.008844526352338762,-0.03135647867278687
221,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RGU.2020107.v1.4_merged.tif,0.4,262144,18204,8228,8148,80,10056,243860,0.445635528330781,0.9902771025765679,0.4475939353988134,0.6165254237288135,0.961334228515625,0.0694427490234375,0.0313873291015625,-0.038055419921875
222,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16RGU.2021066.v1.4_merged.tif,0.4,262144,35565,628,628,0,34937,226579,0.017657809644313228,1.0,0.017657809644313228,0.03470284309120548,0.8667259216308594,0.13566970825195312,0.0023956298828125,-0.13327407836914062
223,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SBD.2020096.v1.4_merged.tif,0.4,262144,3769,0,0,0,3769,258375,0.0,0.0,0.0,0.0,0.9856224060058594,0.014377593994140625,0.0,-0.014377593994140625
224,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SCF.2019111.v1.4_merged.tif,0.4,262132,10252,0,0,0,10252,251880,0.0,0.0,0.0,0.0,0.9608899333160392,0.039110066683960755,0.0,-0.039110066683960755
